"year", "month", "day", "hour", "minute", "track_id", "start_time", "start_x", "start_y", "duration", "length", "category", "max_surface_wind", "min_sea_level_pressure", "region_id", "region_name", "region_long_name"
1990, 11, 6, 18, 0, 77, 4324.75, 257.808, 11.1243, 15, 224031, 3, 56.4566, 94976.9, 5, "NEP", "NE Pacific"
1990, 11, 15, 15, 0, 78, 4333.62, 272.145, 10.4226, 12.75, 212230, 3, 49.614, 96353.8, 5, "NEP", "NE Pacific"
1990, 11, 20, 18, 0, 79, 4338.75, 274.157, 9.12812, 21.75, 278043, 1, 40.8901, 98161.4, 5, "NEP", "NE Pacific"
1990, 12, 1, 18, 0, 80, 4349.75, 309.947, 22.7356, 9.5, 220996, 1, 38.2064, 97458.8, 4, "NA", "N Atlantic"
1990, 12, 6, 6, 0, 81, 4354.25, 160.683, 11.5769, 5.75, 153635, 0, 29.8462, 99238, 2, "NWP", "NW Pacific"
1990, 12, 6, 21, 0, 82, 4354.88, 256.231, 10.5695, 5.375, 98212.1, 0, 28.7762, 99722.5, 5, "NEP", "NE Pacific"
1990, 12, 11, 6, 0, 83, 4359.25, 267.881, 6.73971, 10.375, 156787, 0, 22.4963, 100114, 5, "NEP", "NE Pacific"
1990, 12, 19, 18, 0, 84, 4367.75, 156.375, 15.2267, 9.25, 279844, 0, 24.8168, 100203, 2, "NWP", "NW Pacific"
1990, 12, 27, 6, 0, 85, 4375.25, 61.9179, -11.6999, 7.125, 169523, 1, 38.1845, 98028, 0, "SI", "S Indian"
1991, 1, 2, 6, 0, 86, 4381.25, 193.716, -20.0494, 7.875, 320481, 0, 27.2597, 99898.8, 1, "SWP", "SW Pacific"
1991, 1, 7, 0, 0, 87, 4386, 258.41, 7.13679, 10.125, 133183, 0, 29.1445, 99362.2, 5, "NEP", "NE Pacific"
1991, 1, 14, 6, 0, 88, 4393.25, 79.7329, 4.88701, 6.75, 133510, 1, 36.5717, 98788.6, 3, "NI", "N Indian"
1991, 1, 21, 3, 0, 89, 4400.12, 72.7488, 3.65583, 6.875, 109832, 2, 42.8308, 97993.4, 3, "NI", "N Indian"
1991, 2, 1, 6, 0, 90, 4411.25, 35.2601, -22.028, 9, 128302, 1, 37.7771, 97101.6, 0, "SI", "S Indian"
1991, 2, 11, 9, 0, 91, 4421.38, 121.056, -13.258, 9.875, 179289, 2, 44.8321, 96733.7, 0, "SI", "S Indian"
1991, 2, 17, 12, 0, 92, 4427.5, 55.1099, -23.8857, 3.375, 43150.6, 1, 36.3742, 98590.7, 0, "SI", "S Indian"
1991, 2, 22, 12, 0, 93, 4432.5, 169.984, 2.94263, 10.125, 178847, 0, 28.265, 100047, 2, "NWP", "NW Pacific"
1991, 3, 4, 3, 0, 94, 4442.12, 48.0556, -11.549, 11.875, 235724, 5, 75.0615, 92559.2, 0, "SI", "S Indian"
1991, 3, 15, 6, 0, 95, 4453.25, 190.011, 7.11941, 16.875, 506458, 3, 57.1989, 95832.1, 5, "NEP", "NE Pacific"
1991, 3, 24, 6, 0, 96, 4462.25, 166.66, -15.4759, 6, 143248, 1, 36.3825, 97584.5, 1, "SWP", "SW Pacific"
1991, 4, 3, 9, 0, 97, 4472.38, 77.0864, -10.3124, 4.25, 94645.3, 1, 39.9942, 98200, 0, "SI", "S Indian"
1991, 4, 11, 21, 0, 98, 4480.88, 80.3471, -10.0944, 7.5, 167658, 0, 31.622, 99433.5, 0, "SI", "S Indian"
1991, 4, 20, 15, 0, 99, 4489.62, 52.4138, -16.8652, 5.25, 107118, 0, 28.4737, 99803.8, 0, "SI", "S Indian"
1991, 4, 24, 6, 0, 100, 4493.25, 251.459, 8.06346, 11.875, 123102, 0, 30.8409, 99366.1, 5, "NEP", "NE Pacific"
1991, 5, 28, 21, 0, 101, 4527.88, 60.9789, 18.0866, 8.75, 130066, 3, 49.9835, 94292.3, 3, "NI", "N Indian"
1991, 6, 5, 6, 0, 102, 4535.25, 229.746, 8.48992, 14, 321231, 0, 26.1451, 99919.9, 5, "NEP", "NE Pacific"
1991, 6, 16, 0, 0, 103, 4546, 245.463, 8.81022, 27.625, 668830, 5, 74.7285, 91372.3, 5, "NEP", "NE Pacific"
1991, 6, 16, 15, 0, 104, 4546.62, 257.792, 10.9901, 5.875, 90807.3, 0, 21.7645, 99887.3, 5, "NEP", "NE Pacific"
1991, 6, 19, 12, 0, 105, 4549.5, 201.915, 11.2661, 15.375, 428569, 4, 64.6587, 93265, 5, "NEP", "NE Pacific"
1991, 6, 23, 15, 0, 106, 4553.62, 281.151, 7.91392, 11.875, 284442, 4, 61.0927, 94762.5, 5, "NEP", "NE Pacific"
1991, 6, 29, 12, 0, 107, 4559.5, 272.812, 9.0352, 10.875, 231045, 3, 51.5211, 95497.5, 5, "NEP", "NE Pacific"
1991, 7, 7, 21, 0, 108, 4567.88, 272.163, 8.60939, 9, 220642, 1, 39.9995, 98198.8, 5, "NEP", "NE Pacific"
1991, 7, 13, 12, 0, 109, 4573.5, 164.097, -9.51746, 4.75, 77950.3, 0, 29.0847, 99532, 1, "SWP", "SW Pacific"
1991, 7, 17, 9, 0, 110, 4577.38, 77.0749, -4.83308, 9.125, 212054, 1, 39.9612, 97614.1, 0, "SI", "S Indian"
1991, 7, 17, 21, 0, 111, 4577.88, 238.425, 11.0158, 24.5, 566199, 5, 79.9176, 89476.8, 5, "NEP", "NE Pacific"
1991, 7, 19, 21, 0, 112, 4579.88, 247.741, 9.28364, 16.375, 387828, 3, 56.3917, 95567.9, 5, "NEP", "NE Pacific"
1991, 7, 20, 0, 0, 113, 4580, 161.661, 28.8492, 4.75, 148690, 0, 27.2689, 99613.2, 2, "NWP", "NW Pacific"
1991, 7, 20, 6, 0, 114, 4580.25, 192.838, 15.2543, 4.5, 116223, 0, 26.5846, 100019, 5, "NEP", "NE Pacific"
1991, 7, 22, 3, 0, 115, 4582.12, 85.9644, -6.81778, 8.75, 180886, 1, 34.1239, 98953.7, 0, "SI", "S Indian"
1991, 7, 29, 0, 0, 116, 4589, 155.311, 26.1503, 5.25, 173259, 1, 33.1577, 98823.2, 2, "NWP", "NW Pacific"
1991, 8, 5, 3, 0, 117, 4596.12, 239.973, 13.2257, 19.5, 370329, 3, 54.7191, 95522, 5, "NEP", "NE Pacific"
1991, 8, 5, 6, 0, 118, 4596.25, 253.737, 11.4116, 23.125, 490151, 3, 51.0974, 96753.8, 5, "NEP", "NE Pacific"
1991, 8, 9, 12, 0, 119, 4600.5, 249.896, 10.1624, 6.625, 128968, 0, 32.3081, 99723.7, 5, "NEP", "NE Pacific"
1991, 8, 13, 3, 0, 120, 4604.12, 247.281, 11.6765, 10.125, 169643, 1, 36.6677, 98198.4, 5, "NEP", "NE Pacific"
1991, 8, 17, 12, 0, 121, 4608.5, 71.4796, 24.3834, 3.75, 84411.4, 1, 37.3343, 97469.9, 3, "NI", "N Indian"
1991, 8, 17, 21, 0, 122, 4608.88, 329.001, 9.49977, 17.125, 323286, 3, 58.0003, 94224.6, 4, "NA", "N Atlantic"
1991, 8, 18, 12, 0, 123, 4609.5, 90.0903, -6.48238, 11.75, 131439, 1, 34.4922, 99012.5, 0, "SI", "S Indian"
1991, 8, 19, 0, 0, 124, 4610, 253.183, 13.313, 6.875, 189032, 2, 43.1384, 97206.1, 5, "NEP", "NE Pacific"
1991, 8, 28, 21, 0, 125, 4619.88, 252.291, 10.4031, 10.125, 220902, 2, 42.5952, 96400.5, 5, "NEP", "NE Pacific"
1991, 8, 31, 18, 0, 126, 4622.75, 266.747, 10.5843, 33.125, 601453, 3, 50.5529, 96123.4, 5, "NEP", "NE Pacific"
1991, 9, 7, 12, 0, 127, 4629.5, 214.985, 13.7288, 18.625, 459398, 4, 64.7274, 92822.3, 5, "NEP", "NE Pacific"
1991, 9, 9, 0, 0, 128, 4631, 184.659, 27.4732, 3.625, 110061, 0, 26.8962, 100730, 5, "NEP", "NE Pacific"
1991, 9, 10, 3, 0, 129, 4632.12, 248.784, 12.8142, 8.25, 100748, 1, 41.9071, 97072.7, 5, "NEP", "NE Pacific"
1991, 9, 10, 12, 0, 130, 4632.5, 264.546, 12.1381, 7.75, 188309, 4, 59.6236, 93876.5, 5, "NEP", "NE Pacific"
1991, 9, 11, 21, 0, 131, 4633.88, 344.019, 9.38754, 30, 735487, 2, 44.5986, 96218.2, 4, "NA", "N Atlantic"
1991, 9, 11, 21, 0, 132, 4633.88, 320.795, 17.1301, 10.875, 304916, 4, 61.9796, 92530.5, 4, "NA", "N Atlantic"
1991, 9, 12, 12, 0, 133, 4634.5, 279.414, 8.11324, 15, 311751, 3, 57.3678, 95076.4, 5, "NEP", "NE Pacific"
1991, 9, 14, 18, 0, 134, 4636.75, 82.104, -4.59253, 9, 204032, 0, 27.9299, 99718, 0, "SI", "S Indian"
1991, 9, 18, 18, 0, 135, 4640.75, 341.789, 9.33918, 13.625, 336016, 3, 50.2717, 96428.2, 4, "NA", "N Atlantic"
1991, 9, 27, 6, 0, 136, 4649.25, 199.721, 10.9742, 15.875, 197179, 1, 33.6003, 98988, 5, "NEP", "NE Pacific"
1991, 9, 28, 21, 0, 137, 4650.88, 338.589, 9.80157, 17.375, 555631, 3, 57.0728, 94793.8, 4, "NA", "N Atlantic"
1991, 10, 6, 21, 0, 138, 4658.88, 244.625, 11.9104, 5.25, 78217.1, 0, 30.0073, 99119.3, 5, "NEP", "NE Pacific"
1991, 10, 7, 15, 0, 139, 4659.62, 339.018, 10.2477, 6, 116914, 0, 29.2004, 99657.8, 4, "NA", "N Atlantic"
1991, 10, 7, 18, 0, 140, 4659.75, 296.592, 25.7813, 3, 91643.6, 0, 20.9615, 100555, 4, "NA", "N Atlantic"
1991, 10, 7, 21, 0, 141, 4659.88, 268.754, 11.91, 5.25, 65225.5, 1, 37.5529, 98818.8, 5, "NEP", "NE Pacific"
1991, 10, 11, 3, 0, 142, 4663.12, 261.293, 11.0239, 21.125, 251841, 1, 35.3803, 98736.7, 5, "NEP", "NE Pacific"
1991, 10, 12, 3, 0, 143, 4664.12, 347.344, 8.27124, 5.375, 76835.1, 1, 35.0945, 99305.5, 4, "NA", "N Atlantic"
1991, 10, 13, 0, 0, 144, 4665, 276.99, 17.4408, 5.25, 119187, 2, 46.069, 95946.3, 4, "NA", "N Atlantic"
1991, 10, 13, 6, 0, 145, 4665.25, 240.91, 14.8777, 11.125, 233542, 2, 42.6906, 97395.4, 5, "NEP", "NE Pacific"
1991, 10, 23, 18, 0, 146, 4675.75, 233.766, 11.2743, 6.875, 84088.7, 1, 37.8356, 98461.6, 5, "NEP", "NE Pacific"
1991, 10, 25, 6, 0, 147, 4677.25, 263.082, 10.778, 7.125, 149479, 4, 59.3211, 95294.6, 5, "NEP", "NE Pacific"
1991, 10, 25, 6, 0, 148, 4677.25, 180.543, 13.9227, 11.875, 238002, 0, 24.496, 99945.5, 5, "NEP", "NE Pacific"
1991, 11, 1, 0, 0, 149, 4684, 272.476, 9.16222, 11.125, 243820, 1, 34.4494, 99172, 5, "NEP", "NE Pacific"
1991, 11, 6, 0, 0, 150, 4689, 172.799, -7.26643, 7.75, 123497, 1, 35.1539, 98538.6, 1, "SWP", "SW Pacific"
1991, 11, 10, 9, 0, 151, 4693.38, 242.165, 10.0087, 7.375, 106830, 0, 29.6355, 99538.2, 5, "NEP", "NE Pacific"
1991, 11, 12, 12, 0, 152, 4695.5, 225.764, 8.19569, 6.75, 62033.6, 0, 25.3544, 99821.7, 5, "NEP", "NE Pacific"
1991, 11, 13, 18, 0, 153, 4696.75, 112.366, 9.81381, 12.25, 345099, 0, 30.7546, 99807.5, 2, "NWP", "NW Pacific"
1991, 11, 14, 6, 0, 154, 4697.25, 271.179, 8.08135, 8.25, 87110.5, 0, 29.3246, 99746.9, 5, "NEP", "NE Pacific"
1991, 11, 21, 0, 0, 155, 4704, 213.132, 6.21434, 11.5, 242152, 2, 44.6923, 98244.1, 5, "NEP", "NE Pacific"
1991, 11, 21, 3, 0, 156, 4704.12, 70.8874, -16.5749, 9.375, 139202, 0, 27.6832, 99637.1, 0, "SI", "S Indian"
1991, 11, 25, 18, 0, 157, 4708.75, 271.875, 6.45372, 15.5, 230451, 3, 57.529, 95789.2, 5, "NEP", "NE Pacific"
1991, 11, 25, 18, 0, 158, 4708.75, 258.945, 9.78469, 6.625, 150805, 1, 40.641, 98228.4, 5, "NEP", "NE Pacific"
1991, 11, 27, 6, 0, 159, 4710.25, 236.099, 9.58867, 6.875, 112630, 1, 33.3668, 99036.5, 5, "NEP", "NE Pacific"
1991, 12, 7, 0, 0, 160, 4720, 48.9579, -11.4118, 18, 228471, 1, 38.2706, 97790.9, 0, "SI", "S Indian"
1991, 12, 8, 12, 0, 161, 4721.5, 206.497, 4.19164, 5, 87934.5, 0, 26.4502, 99792.7, 5, "NEP", "NE Pacific"
1991, 12, 17, 15, 0, 162, 4730.62, 124.124, -15.5173, 20.125, 350576, 1, 35.1491, 98112.3, 0, "SI", "S Indian"
1991, 12, 19, 0, 0, 163, 4732, 249.962, 4.96292, 7.625, 189800, 0, 30.1613, 99567.2, 5, "NEP", "NE Pacific"
1991, 12, 23, 0, 0, 164, 4736, 124.623, -13.2766, 9.5, 116558, 1, 36.1698, 98296.3, 0, "SI", "S Indian"
1991, 12, 31, 18, 0, 165, 4744.75, 169.958, 6.28454, 9.75, 352629, 0, 29.706, 100217, 2, "NWP", "NW Pacific"
1992, 1, 3, 9, 0, 166, 4747.38, 183.418, 7.33774, 8.625, 240094, 0, 27.015, 99987.4, 5, "NEP", "NE Pacific"
1992, 1, 7, 18, 0, 167, 4751.75, 110.155, 6.47493, 4.875, 126830, 0, 24.8741, 100077, 2, "NWP", "NW Pacific"
1992, 1, 9, 0, 0, 168, 4753, 68.397, 8.12482, 5.25, 79310.8, 0, 23.1595, 100241, 3, "NI", "N Indian"
1992, 1, 15, 15, 0, 169, 4759.62, 40.6395, -17.2499, 17.5, 407636, 5, 76.8834, 90191.5, 0, "SI", "S Indian"
1992, 1, 19, 21, 0, 170, 4763.88, 183.737, -14.7894, 13.875, 239076, 5, 70.3712, 91382.9, 1, "SWP", "SW Pacific"
1992, 2, 8, 12, 0, 171, 4783.5, 46.6618, -17.5097, 13.75, 247879, 3, 52.1295, 93553.5, 0, "SI", "S Indian"
1992, 2, 10, 18, 0, 172, 4785.75, 169.741, -12.5816, 16.625, 324291, 3, 53.2432, 94743.7, 1, "SWP", "SW Pacific"
1992, 3, 7, 0, 0, 173, 4810, 147.119, -18.5937, 8.5, 71887.8, 1, 34.9541, 98760.6, 1, "SWP", "SW Pacific"
1992, 3, 7, 0, 0, 174, 4810, 49.1669, -18.6532, 7.625, 226724, 2, 42.7365, 97062.1, 0, "SI", "S Indian"
1992, 4, 5, 3, 0, 175, 4839.12, 188.061, -15.2542, 10.625, 201293, 3, 56.9678, 94581.3, 1, "SWP", "SW Pacific"
1992, 4, 22, 9, 0, 176, 4856.38, 157.191, -11.1145, 25.25, 310432, 3, 57.7402, 96059.7, 1, "SWP", "SW Pacific"
1992, 5, 3, 15, 0, 177, 4867.62, 104.221, -10.4148, 5.125, 137500, 0, 29.1719, 99500.4, 0, "SI", "S Indian"
1992, 5, 5, 9, 0, 178, 4869.38, 253.403, 6.6508, 11.25, 129112, 0, 31.0379, 99421.5, 5, "NEP", "NE Pacific"
1992, 5, 11, 12, 0, 179, 4875.5, 267.199, 8.81532, 19.875, 247562, 2, 48.3102, 97572, 5, "NEP", "NE Pacific"
1992, 5, 19, 18, 0, 180, 4883.75, 70.1797, 14.6504, 6.375, 110223, 1, 41.7233, 96718.4, 3, "NI", "N Indian"
1992, 6, 3, 6, 0, 181, 4898.25, 254.145, 7.70805, 15.375, 247746, 1, 32.7503, 99194.4, 5, "NEP", "NE Pacific"
1992, 6, 9, 9, 0, 182, 4904.38, 72.3925, 19.0644, 5.625, 80230.2, 2, 47.5571, 94997.9, 3, "NI", "N Indian"
